MasterorderName,DirectionType,Warehouse,Priority,Deadline,Creationdate,OrderstatusType,SpecialIncomplete
1224089,2,Warehouse,2,2025-10-08T00:00:00,2025-10-03T15:15:48.523,1,FALSE
1224081,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:47.710,1,FALSE
1224077,2,Warehouse,2,2025-10-08T00:00:00,2025-10-03T15:15:47.650,1,FALSE
1224076,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:46.977,1,FALSE
1224092,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:46.930,1,FALSE
1224091,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:46.480,1,FALSE
1224090,2,Warehouse,2,2025-10-08T00:00:00,2025-10-03T15:15:46.353,1,FALSE
1224088,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:45.717,1,FALSE
1224087,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:45.057,1,FALSE
1224086,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:43.750,1,FALSE
1224085,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:42.627,1,FALSE
1224084,2,Warehouse,2,2025-10-08T00:00:00,2025-10-03T15:15:42.570,1,FALSE
1224083,2,Warehouse,2,2025-10-08T00:00:00,2025-10-03T15:15:41.753,1,FALSE
1224082,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:41.073,1,FALSE
1224080,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:40.323,1,FALSE
1224079,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:39.637,1,FALSE
1224078,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:38.277,1,FALSE
1224075,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:38.150,1,FALSE
1224074,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:37.357,1,FALSE
1224073,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:33.453,1,FALSE
1224072,2,Warehouse,2,2025-10-20T00:00:00,2025-10-03T15:15:30.613,1,FALSE
1224071,2,Warehouse,2,2025-10-27T00:00:00,2025-10-03T15:15:28.463,1,FALSE
251003.G4JerseyCount.39960,5,Warehouse,3,2025-10-06T14:56:55.077,2025-10-03T14:56:57.030,1,
251003.G4JerseyCount.38702,5,Warehouse,3,2025-10-06T14:56:51.617,2025-10-03T14:56:53.080,1,
251003.G4JerseyCount.38701,5,Warehouse,3,2025-10-06T14:56:49.380,2025-10-03T14:56:50.927,1,
251003.G4JerseyCount.38700,5,Warehouse,3,2025-10-06T14:56:47.290,2025-10-03T14:56:48.680,1,
251003.G4JerseyCount.38699,5,Warehouse,3,2025-10-06T14:56:43.513,2025-10-03T14:56:46.763,1,
251003.G4JerseyCount.38698,5,Warehouse,3,2025-10-06T14:56:37.177,2025-10-03T14:56:40.897,1,
251003.G4JerseyCount.38697,5,Warehouse,3,2025-10-06T14:56:35.420,2025-10-03T14:56:36.747,1,
251003.G4JerseyCount.38696,5,Warehouse,3,2025-10-06T14:56:33.740,2025-10-03T14:56:34.950,1,
251003.G4JerseyCount.38693,5,Warehouse,3,2025-10-06T14:56:32.063,2025-10-03T14:56:33.310,1,
251003.G4JerseyCount.38692,5,Warehouse,3,2025-10-06T14:56:30.347,2025-10-03T14:56:31.590,1,
251003.G4JerseyCount.38682,5,Warehouse,3,2025-10-06T14:56:28.560,2025-10-03T14:56:29.877,1,
251003.G4JerseyCount.38677,5,Warehouse,3,2025-10-06T14:56:25.597,2025-10-03T14:56:26.920,1,
251003.G4JerseyCount.38674,5,Warehouse,3,2025-10-06T14:56:23.760,2025-10-03T14:56:25.090,1,
251003.G4JerseyCount.38416,5,Warehouse,3,2025-10-06T14:56:21.980,2025-10-03T14:56:23.307,1,
251003.G4JerseyCount.38042,5,Warehouse,3,2025-10-06T14:56:19.950,2025-10-03T14:56:21.470,1,
251003.G4JerseyCount.38041,5,Warehouse,3,2025-10-06T14:56:18.080,2025-10-03T14:56:19.503,1,
251003.G4JerseyCount.38033,5,Warehouse,3,2025-10-06T14:56:16.067,2025-10-03T14:56:17.517,1,
251003.G4JerseyCount.38029,5,Warehouse,3,2025-10-06T14:56:14.127,2025-10-03T14:56:15.530,1,
251003.G4JerseyCount.38023,5,Warehouse,3,2025-10-06T14:56:12.257,2025-10-03T14:56:13.620,1,
251003.G4JerseyCount.38001,5,Warehouse,3,2025-10-06T14:56:10.310,2025-10-03T14:56:11.647,1,
251003.G4JerseyCount.37987,5,Warehouse,3,2025-10-06T14:56:08.077,2025-10-03T14:56:09.320,1,
251003.G4JerseyCount.37925,5,Warehouse,3,2025-10-06T14:56:05.520,2025-10-03T14:56:07.363,1,
251003.G4JerseyCount.37717,5,Warehouse,3,2025-10-06T14:56:03.130,2025-10-03T14:56:04.727,1,
251003.G4JerseyCount.37705,5,Warehouse,3,2025-10-06T14:56:01.373,2025-10-03T14:56:02.693,1,
251003.G4JerseyCount.37703,5,Warehouse,3,2025-10-06T14:55:59.453,2025-10-03T14:56:00.920,1,
251003.G4JerseyCount.37617,5,Warehouse,3,2025-10-06T14:55:55.940,2025-10-03T14:55:57.417,1,
251003.G4JerseyCount.37604,5,Warehouse,3,2025-10-06T14:55:54.150,2025-10-03T14:55:55.470,1,
251003.G4JerseyCount.37601,5,Warehouse,3,2025-10-06T14:55:52.367,2025-10-03T14:55:53.707,1,
251003.G4JerseyCount.37589,5,Warehouse,3,2025-10-06T14:55:50.433,2025-10-03T14:55:51.940,1,
251003.G4JerseyCount.37571,5,Warehouse,3,2025-10-06T14:55:48.490,2025-10-03T14:55:49.913,1,
251003.G4JerseyCount.37560,5,Warehouse,3,2025-10-06T14:55:46.557,2025-10-03T14:55:47.953,1,
251003.G4JerseyCount.37553,5,Warehouse,3,2025-10-06T14:55:43.917,2025-10-03T14:55:45.630,1,
251003.G4JerseyCount.37550,5,Warehouse,3,2025-10-06T14:55:41.663,2025-10-03T14:55:43.147,1,
251003.G4JerseyCount.37543,5,Warehouse,3,2025-10-06T14:55:39.163,2025-10-03T14:55:40.907,1,
251003.G4JerseyCount.37539,5,Warehouse,3,2025-10-06T14:55:36.367,2025-10-03T14:55:37.703,1,
251003.G4JerseyCount.37530,5,Warehouse,3,2025-10-06T14:55:34.517,2025-10-03T14:55:35.810,1,
251003.G4JerseyCount.37519,5,Warehouse,3,2025-10-06T14:55:32.810,2025-10-03T14:55:34.067,1,
251003.G4JerseyCount.37517,5,Warehouse,3,2025-10-06T14:55:31.033,2025-10-03T14:55:32.363,1,
251003.G4JerseyCount.37516,5,Warehouse,3,2025-10-06T14:55:29.097,2025-10-03T14:55:30.547,1,
251003.G4JerseyCount.37493,5,Warehouse,3,2025-10-06T14:55:25.803,2025-10-03T14:55:28.460,1,
251003.G4JerseyCount.37489,5,Warehouse,3,2025-10-06T14:55:23.737,2025-10-03T14:55:25.147,1,
251003.G4JerseyCount.37449,5,Warehouse,3,2025-10-06T14:55:21.843,2025-10-03T14:55:23.260,1,
251003.G4JerseyCount.37447,5,Warehouse,3,2025-10-06T14:55:20.060,2025-10-03T14:55:21.340,1,
251003.G4JerseyCount.37431,5,Warehouse,3,2025-10-06T14:55:18.020,2025-10-03T14:55:19.487,1,
251003.G4JerseyCount.37415,5,Warehouse,3,2025-10-06T14:55:15.977,2025-10-03T14:55:17.447,1,
251003.G4JerseyCount.37414,5,Warehouse,3,2025-10-06T14:55:14.063,2025-10-03T14:55:15.473,1,
251003.G4JerseyCount.37387,5,Warehouse,3,2025-10-06T14:55:11.937,2025-10-03T14:55:13.403,1,
251003.G4JerseyCount.37380,5,Warehouse,3,2025-10-06T14:55:08.130,2025-10-03T14:55:09.590,1,
251003.G4JerseyCount.37370,5,Warehouse,3,2025-10-06T14:55:04.490,2025-10-03T14:55:06.337,1,
251003.G4JerseyCount.37357,5,Warehouse,3,2025-10-06T14:55:02.363,2025-10-03T14:55:03.843,1,
