OrderName,UQ_Shelf,Effective Count Date,BarCode
251003.G2JerseyCount.33423,G2_110-H_3,2025-09-22 09:52:30.000,*251003.G2JerseyCount.33423*
251003.G2JerseyCount.34108,G2_110-H_1,2025-09-09 14:35:47.000,*251003.G2JerseyCount.34108*
251003.G2JerseyCount.34616,G2_102-J_4,2025-07-16 18:48:41.000,*251003.G2JerseyCount.34616*
251003.G2JerseyCount.34734,G2_104-C_3,2025-07-25 09:02:43.000,*251003.G2JerseyCount.34734*
251003.G2JerseyCount.34949,G2_106-F_1,2025-08-18 15:01:54.000,*251003.G2JerseyCount.34949*
251003.G2JerseyCount.35036,G2_110-K_5,2025-09-09 09:44:45.000,*251003.G2JerseyCount.35036*
251003.G2JerseyCount.35275,G2_108-L_5,2025-08-28 14:09:09.000,*251003.G2JerseyCount.35275*
251003.G2JerseyCount.35277,G2_108-L_6,2025-09-26 08:35:28.000,*251003.G2JerseyCount.35277*
251003.G2JerseyCount.36220,G2_106-F_5,2025-08-13 16:23:45.000,*251003.G2JerseyCount.36220*
251003.G2JerseyCount.36334,G2_110-A_2,2025-09-15 10:02:21.000,*251003.G2JerseyCount.36334*
251003.G2JerseyCount.36367,G2_110-B_1,2025-08-28 14:04:30.000,*251003.G2JerseyCount.36367*
251003.G2JerseyCount.36471,G2_110-K_1,2025-09-09 09:32:46.000,*251003.G2JerseyCount.36471*
251003.G2JerseyCount.36484,G2_110-E_2,2025-09-26 13:49:08.000,*251003.G2JerseyCount.36484*
251003.G2JerseyCount.36486,G2_110-F_1,2025-09-23 08:42:28.000,*251003.G2JerseyCount.36486*
251003.G2JerseyCount.36793,G2_106-F_2,2025-08-15 14:49:21.000,*251003.G2JerseyCount.36793*
251003.G2JerseyCount.37773,G2_114-D_2,2025-07-10 09:20:10.000,*251003.G2JerseyCount.37773*
251003.G2JerseyCount.38095,G2_110-L_1,2025-09-09 09:50:06.000,*251003.G2JerseyCount.38095*
251003.G2JerseyCount.38413,G2_110-L_3,2025-09-25 08:57:34.000,*251003.G2JerseyCount.38413*
251003.G2JerseyCount.38747,G2_110-F_2,2025-08-27 18:12:33.000,*251003.G2JerseyCount.38747*
251003.G2JerseyCount.38752,G2_110-L_5,2025-09-09 14:17:24.000,*251003.G2JerseyCount.38752*
251003.G2JerseyCount.38753,G2_108-L_4,2025-09-25 08:58:07.000,*251003.G2JerseyCount.38753*
251003.G2JerseyCount.38809,G2_110-L_6,2025-08-28 14:05:11.000,*251003.G2JerseyCount.38809*
251003.G2JerseyCount.39284,G2_110-K_4,2025-09-09 09:33:08.000,*251003.G2JerseyCount.39284*
251003.G2JerseyCount.39285,G2_110-K_6,2025-09-26 13:46:51.000,*251003.G2JerseyCount.39285*
251003.G2JerseyCount.39611,G2_110-A_3,2025-09-15 13:51:05.000,*251003.G2JerseyCount.39611*
251003.G2JerseyCount.39846,G2_110-K_2,2025-09-23 08:58:51.000,*251003.G2JerseyCount.39846*
251003.G2JerseyCount.39975,G2_110-E_3,2025-09-26 13:49:29.000,*251003.G2JerseyCount.39975*
251003.G2JerseyCount.39976,G2_110-E_4,2025-09-26 13:56:51.000,*251003.G2JerseyCount.39976*
251003.G2JerseyCount.39977,G2_110-E_5,2025-09-26 13:58:08.000,*251003.G2JerseyCount.39977*
251003.G3JerseyCount.33050,G3_211-I_6,2025-03-19 10:06:55.410,*251003.G3JerseyCount.33050*
